job_title,skill
Operator,Unreal Engine 3
Sales Associate,RFP Generation
Graphic Designer,Lua
VP Accounting,HS&amp;E
Business Systems Development Analyst,Tax
Information Systems Manager,Agribusiness
Account Representative IV,CNC Mill
Geological Engineer,Eggs
Technical Writer,GSS
Senior Cost Accountant,Google Apps
Product Engineer,Avid
Biostatistician III,Book Illustration
Help Desk Operator,Western Europe
Chemical Engineer,TPC
Accountant II,Documentaries
Director of Sales,TV Distribution
GIS Technical Architect,Crisis Intervention
Librarian,Design of Experiments
Director of Sales,SMS
Software Engineer II,Interpersonal Skills
